"","id","l","y","costofl","sales","k","indcode","sector","age"
"1",1,401,2678,852,1952,3558,29,"manufacturing",49
"2",2,301,3256,2684,6338,5521,74,"services",51
"3",3,209,2428,1458,14174,8140,52,"services",54
"4",4,303,5599,2521,19518,16349,24,"manufacturing",11
"5",5,82,958,824,7055,3407,51,"services",43
"6",6,70,677,508,13527,4985,50,"services",12
"7",7,151,4777,1471,8777,23293,51,"services",50
"8",8,425,2890,1343,9318,4720,63,"services",11
"9",9,132,543,144,12259,33282,52,"services",17
"10",10,92,2356,586,8687,7168,28,"manufacturing",10
"11",11,17020,93855,98661,543974,663486,27,"manufacturing",51
"12",12,260,2336,1878,49587,10351,51,"services",13
"13",13,166,3191,1889,14947,32400,51,"services",51
"14",14,146,3277,1964,14858,25053,51,"services",51
"15",15,287,8397,3014,36148,35134,28,"manufacturing",10
"16",16,1762,13164,10359,104052,78300,24,"manufacturing",54
"17",17,658,8938,9993,107351,56666,24,"manufacturing",53
"18",18,268,1024,1128,3640,1629,31,"manufacturing",53
"19",19,40,895,605,15983,5664,15,"manufacturing",11
"20",20,130,868,521,6730,2251,63,"services",17
"21",21,7231,98876,60075,446454,422866,74,"services",52
"22",22,725,276,4181,36447,33263,21,"manufacturing",29
"23",23,1646,80759,19917,1192883,683524,23,"manufacturing",28
"24",24,426,3072,2361,11482,12128,25,"manufacturing",54
"25",25,141,575,416,4819,1318,15,"manufacturing",10
"26",26,785,6568,5524,63775,30505,15,"manufacturing",49
"27",27,1383,15086,9233,90609,20434,92,"services",51
"28",28,29,387,257,5365,1988,52,"services",11
"29",29,100,780,700,4691,729,45,"services",46
"30",30,93,608,506,9091,3771,51,"services",13
"31",31,134,890,880,5881,848,92,"services",8
"32",32,157,1699,947,7935,6721,60,"services",11
"33",33,222,1369,1329,15070,6980,31,"manufacturing",43
"34",34,130,377,212,1956,1382,52,"services",24
"35",35,222,1694,901,1393,1975,32,"manufacturing",35
"36",36,68,449,430,2102,628,60,"services",20
"37",37,157,1965,1009,5292,4209,25,"manufacturing",16
"38",38,18,295,90,3529,2143,51,"services",10
"39",39,71,935,741,2905,1060,32,"manufacturing",11
"40",40,66,1941,620,5527,3765,25,"manufacturing",13
"41",41,99,523,504,3455,1938,52,"services",13
"42",42,32980,471839,234191,1485753,3582133,40,"manufacturing",18
"43",43,644,8976,4266,16418,12919,24,"manufacturing",30
"44",44,220,4459,2107,21752,11540,29,"manufacturing",11
"45",45,1203,1339,3368,3673,5364,17,"manufacturing",28
"46",46,257,3982,1581,60821,28091,51,"services",10
"47",47,125,505,674,10486,5487,51,"services",25
"48",48,332,9388,2489,16169,89741,63,"services",9
"49",49,135,1454,773,11348,4316,51,"services",53
"50",50,81,1604,915,19875,7749,51,"services",11
"51",51,128,757,893,1621,1178,22,"manufacturing",34
"52",52,50,891,408,9780,2551,51,"services",11
"53",53,326,2491,1664,5079,4632,45,"services",5
"54",54,1201,4977,5962,55256,16180,15,"manufacturing",51
"55",55,41,2721,412,11805,47060,74,"services",10
"56",56,800,7305,4643,37750,23125,31,"manufacturing",52
"57",57,135,1105,838,43976,5802,51,"services",6
"58",58,166,1033,973,6619,3857,60,"services",10
"59",59,2786,15752,16236,42057,68755,60,"services",10
"60",60,172,147909,2478,191649,318157,71,"services",9
"61",61,1091,5468,4398,18403,12436,36,"manufacturing",11
"62",62,245,4,2,84,24508,51,"services",9
"63",63,2228,5315,13379,85426,70818,23,"manufacturing",20
"64",64,49,2045,1295,3511,2913,74,"services",9
"65",65,32,37332,951,102118,266283,40,"manufacturing",6
"66",66,280,880,1239,6392,3654,60,"services",54
"67",67,80,3134,1004,4768,20507,51,"services",36
"68",68,712,6183,3855,26912,23065,31,"manufacturing",5
"69",69,385,2036,1804,7518,3569,28,"manufacturing",47
"70",70,200,2197,1400,10567,8290,17,"manufacturing",8
"71",71,991,8757,10197,33906,11680,45,"services",46
"72",72,18,235,166,499,1329,74,"services",7
"73",73,67,963,499,4554,2259,51,"services",10
"74",74,286,1287,1080,9540,3344,15,"manufacturing",5
"75",75,135,2078,1246,15381,6107,74,"services",7
"76",76,32,204,193,1389,2760,51,"services",7
"77",77,24,164,144,1032,1072,50,"services",26
"78",78,44,356,263,3757,1531,51,"services",47
"79",79,394,2893,1933,7340,7973,26,"manufacturing",49
"80",80,86,515,424,1086,1505,28,"manufacturing",7
"81",81,901,7588,4061,21595,22031,26,"manufacturing",48
"82",82,22,717,652,3201,7595,74,"services",11
"83",83,275,1423,1751,3809,2187,45,"services",36
"84",84,202,1876,1499,5793,3785,73,"services",10
"85",85,40,518,198,2304,3900,15,"manufacturing",3
"86",86,543,1498,1530,54240,20879,52,"services",6
"87",87,161,883,786,2259,1106,29,"manufacturing",49
"88",88,43,431,405,2270,586,70,"services",10
"89",89,46,733,359,1928,2246,36,"manufacturing",9
"90",90,54,1323,491,10900,6135,51,"services",8
"91",91,38,1559,838,20186,1720,74,"services",9
"92",92,332,14291,2257,57901,33369,15,"manufacturing",7
"93",93,54,300,286,2456,1963,15,"manufacturing",5
"94",94,43,2455,506,29246,16186,15,"manufacturing",6
"95",95,68,992,424,10007,1472,50,"services",5
"96",96,165,3496,3125,64393,9435,74,"services",8
"97",97,186,3114,1532,11881,9002,29,"manufacturing",9
"98",98,220,452,620,978,768,18,"manufacturing",17
"99",99,2013,48936,9852,362007,100317,32,"manufacturing",9
"100",100,622,3686,2906,9333,7066,33,"manufacturing",25
"101",101,428,1295,1526,3561,2028,45,"services",8
"102",102,58,1814,1065,15967,9993,51,"services",7
"103",103,233,1435,1920,3280,846,10,"manufacturing",47
"104",104,77,2408,671,4677,3599,33,"manufacturing",5
"105",105,36,263094,893,276,286010,74,"services",9
"106",106,20,167,122,3401,710,51,"services",5
"107",107,172,1705,1469,17681,4730,74,"services",7
"108",108,34,2961,822,1422,36363,65,"services",4
"109",109,140,465,265,3653,1376,18,"manufacturing",7
"110",110,1868,179264,30507,658848,1011489,64,"services",5
"111",111,155,4202,2960,15044,49171,64,"services",7
"112",112,814,3856,12121,33201,361027,74,"services",5
"113",113,90,36187,635,45215,61905,65,"services",5
"114",114,490,17028,4154,58619,78798,26,"manufacturing",35
"115",115,518,1931,2509,6881,3623,17,"manufacturing",48
"116",116,75,3842,1399,301059,68356,50,"services",6
"117",117,39,906,750,7176,2537,51,"services",11
"118",118,19,3460,1944,6621,73985,74,"services",29
"119",119,320,2423,1954,65124,23724,51,"services",10
"120",120,599,21253,6185,51751,68314,31,"manufacturing",40
"121",121,85,707,415,3494,4970,26,"manufacturing",6
"122",122,27,4863,758,3368,200255,74,"services",4
"123",123,70,1078,989,7789,898,45,"services",9
"124",124,74,218,151,679,1041,55,"services",7
"125",125,45,3748,1207,65097,13166,63,"services",7
"126",126,126,1072,954,4416,2197,45,"services",10
"127",127,434,1942,1682,7445,3711,36,"manufacturing",11
"128",128,62,802,493,3800,3062,15,"manufacturing",53
"129",129,2669,120192,33778,626102,1393558,64,"services",5
"130",130,9,279,164,5538,1148,51,"services",8
"131",131,22,5902,1260,196,141258,51,"services",4
"132",132,120,446,459,15123,2538,51,"services",5
"133",133,18,1155,243,47,10579,70,"services",4
"134",134,49,1424,1015,17655,2771,51,"services",12
"135",135,84,315,326,1031,2190,25,"manufacturing",48
"136",136,1129,5782,4033,55153,23867,52,"services",10
"137",137,129,937,608,2582,1919,29,"manufacturing",26
"138",138,304,3744,2855,14347,7002,51,"services",10
"139",139,71,797,307,3834,2524,21,"manufacturing",8
"140",140,117,1164,894,6357,3240,22,"manufacturing",11
"141",141,5,112,89,220,86,72,"services",5
"142",142,70,1818,433,7213,3422,51,"services",9
"143",143,181,576,819,3236,2408,34,"manufacturing",49
"144",144,70,2190,1681,4935,2002,22,"manufacturing",8
"145",145,162,865,706,3066,2400,60,"services",34
"146",146,608,3247,2587,11304,5614,36,"manufacturing",54
"147",147,47,809,537,3337,619,15,"manufacturing",8
"148",148,14,188,144,2222,135,74,"services",8
"149",149,42,201,112,384,822,55,"services",6
"150",150,102,13,587,1475,1551,64,"services",2
"151",151,40,1063,637,3550,3199,22,"manufacturing",7
"152",152,216,1000,1029,3527,2212,26,"manufacturing",44
"153",153,427,2531,2233,10737,9270,52,"services",5
"154",154,15,312,245,3862,52558,74,"services",4
"155",155,69,1559,2183,5908,2643,52,"services",7
"156",156,101,652,391,1501,34882,64,"services",5
"157",157,46,1136,422,5786,3042,74,"services",4
"158",158,40,873,673,28053,15473,50,"services",9
"159",159,23,1285,362,NA,25567,74,"services",10
"160",160,366,8171,3178,29012,26988,51,"services",8
"161",161,228,2288,915,4886,3636,21,"manufacturing",10
"162",162,45,1007,555,3650,3761,24,"manufacturing",6
"163",163,390,6684,1839,67771,152611,20,"manufacturing",3
"164",164,209,526,798,2554,1962,17,"manufacturing",25
"165",165,88,10555,1175,20530,70396,65,"services",7
"166",166,313,2007,2249,19946,14257,70,"services",54
"167",167,190,1927,1079,11276,11165,21,"manufacturing",4
"168",168,11,7,224,2425,4058,24,"manufacturing",4
"169",169,455,2122,1742,4589,1198,26,"manufacturing",8
"170",170,139,1738,1537,19973,12916,74,"services",3
"171",171,20,2254,286,20649,7976,51,"services",10
"172",172,19,4032,370,43091,10094,50,"services",4
"173",173,308,529,1359,3575,5369,18,"manufacturing",48
"174",174,2104,24891,16013,46582,97141,63,"services",3
"175",175,7233,12056,19991,371994,230515,52,"services",4
"176",176,112,1117,827,12867,5178,51,"services",10
"177",177,70,8490,1845,106690,35548,50,"services",8
"178",178,63,463,325,4407,1047,15,"manufacturing",6
"179",179,20,424,216,33,6294,74,"services",3
"180",180,777,3884,3152,14593,12394,17,"manufacturing",50
"181",181,17,781,165,5059,2746,51,"services",10
"182",182,27,1620,351,5076,1854,52,"services",10
"183",183,164,1151,734,3326,2103,36,"manufacturing",18
"184",184,77,7582,329,7636,22671,65,"services",7
"185",185,23,853,438,2846,13742,70,"services",3
"186",186,20,649,273,6222,1751,51,"services",10
"187",187,224,3157,2021,11095,6578,45,"services",9
"188",188,40,1309,637,6795,4281,51,"services",5
"189",189,16,455,426,4729,949,70,"services",4
"190",190,782,599,214,3194,3517,60,"services",7
"191",191,100,4375,2201,12746,6165,74,"services",7
"192",192,1229,5845,5359,9917,18965,35,"manufacturing",4
"193",193,1,10139,916,39201,86907,70,"services",5
"194",194,127,3382,813,47810,19187,15,"manufacturing",10
"195",195,21,878,381,25304,5540,51,"services",8
"196",196,91,3000,1925,4972,2215,74,"services",42
"197",197,100,4101,437,3979,3402,60,"services",36
